id,word_key,book_key,dict_key,pos,usage,timestamp,lang,tag
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AZ4VAAABAAAA:100123:6,発する,365日、君をずっと想うから。 (野いちご文庫),,AZ4VAAABAAAA:100123,発した弱々しい声は、誰に届くわけでもなく、ガランとした教室に吸いこまれて消えた。 　,"January 03, 2024 07:48:49 PM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AaEVAAAPAAAA:100232:5,解消,365日、君をずっと想うから。 (野いちご文庫),,AaEVAAAPAAAA:100232,つまり、私の不安はなにひとつ解消されないまま。 　,"January 03, 2024 07:49:38 PM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AaMVAAABAAAA:100292:8,なにげない,365日、君をずっと想うから。 (野いちご文庫),,AaMVAAABAAAA:100292,なにげなく力ない視線をそちらに注いだ私は、誰もいない教室でひとり窓際に立って外を眺める男子のうしろ姿を見つけ、足を止めていた。 　,"January 03, 2024 07:50:01 PM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AaQVAAADAAAA:100358:7,ふわふわ,365日、君をずっと想うから。 (野いちご文庫),,AaQVAAADAAAA:100358,あのふわふわした髪――間違いない。 ,"January 03, 2024 08:12:57 PM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AaoVAAAJAAAA:100482:6,よぎる,365日、君をずっと想うから。 (野いちご文庫),,AaoVAAAJAAAA:100482,そんなことが頭をよぎった次の瞬間には、迷う間もなく教室に踏みこみ、シノくんのもとへと駆けていた。 　,"January 03, 2024 08:13:37 PM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AasVAAAcAAAA:100550:7,さしだす,365日、君をずっと想うから。 (野いちご文庫),,AasVAAAcAAAA:100550,そしてシノくんの前に立つと、駆けた勢いそのままに時計をさしだす。 ,"January 03, 2024 08:14:03 PM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AbMVAAAHAAAA:100786:8,やわらかい,365日、君をずっと想うから。 (野いちご文庫),,AbMVAAAHAAAA:100786,「シノ、くん……」 　シノくんは、やわらかく淡く、今にも消えてしまいそうな笑みを浮かべた。 　,"January 03, 2024 10:12:19 PM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AbQVAAAYAAAA:100838:7,一目瞭然,365日、君をずっと想うから。 (野いちご文庫),,AbQVAAAYAAAA:100838,でも、それが本心からあふれた笑顔ではないことは一目瞭然で。 　,"January 03, 2024 10:12:44 PM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AbYVAAADAAAA:100864:7,こらえる,365日、君をずっと想うから。 (野いちご文庫),,AbYVAAADAAAA:100864,涙をこらえるには笑うしかない、そうしてつくり出されたような笑顔だった。 ,"January 03, 2024 10:13:48 PM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AbYVAAAUAAAA:100881:8,つくり出す,365日、君をずっと想うから。 (野いちご文庫),,AbYVAAAUAAAA:100881,涙をこらえるには笑うしかない、そうしてつくり出されたような笑顔だった。 ,"January 03, 2024 10:15:01 PM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AbwVAAA2AAAA:101040:5,一生,365日、君をずっと想うから。 (野いちご文庫),,AbwVAAA2AAAA:101040,たぶん、聞かないと一生後悔する」 「花ちゃん……」 　今までの私なら、ダメって言われたことに対して、反論なんてできなかった。 　,"January 03, 2024 10:18:04 PM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:Ab4VAAAYAAAA:101079:5,反論,365日、君をずっと想うから。 (野いちご文庫),,Ab4VAAAYAAAA:101079,たぶん、聞かないと一生後悔する」 「花ちゃん……」 　今までの私なら、ダメって言われたことに対して、反論なんてできなかった。 　,"January 03, 2024 10:20:24 PM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AcEVAAAPAAAA:101165:8,引き返せる,365日、君をずっと想うから。 (野いちご文庫),,AcEVAAAPAAAA:101165,でも今は、ダメって言われても引き返せない。,"January 03, 2024 10:22:36 PM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AcYVAAAXAAAA:101313:8,結んでいた,365日、君をずっと想うから。 (野いちご文庫),,AcYVAAAXAAAA:101313,シノくんは覚悟を決めた強い瞳で、口をぎゅっと結んでいた。 　,"January 03, 2024 10:26:21 PM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AcgVAAArAAAA:101378:5,選択,365日、君をずっと想うから。 (野いちご文庫),,AcgVAAArAAAA:101378,だから、僕は蓮が幸せになる道を選択したい」 「シノくん……」 「そして、僕が思う蓮が幸せになれる道は、今花ちゃんにすべてを話すこと。,"January 03, 2024 10:33:43 PM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AcsVAAABAAAA:101467:7,まばたく,365日、君をずっと想うから。 (野いちご文庫),,AcsVAAABAAAA:101467,蓮の意思とは違うけど、でも僕は、花ちゃんにはすべてを知らせるべきだと思うから」 　まばたきをひとつして、シノくんがまっすぐにこちらを見すえた。 ,"January 03, 2024 10:38:26 PM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
